"","logFC","logCPM","PValue","FDR"
"USH2A",3.77419808553166,0.566743043062527,4.78174186314341e-55,6.1113125692848e-51
"AIRE",5.39205501134151,1.21599814491243,7.05083653796919e-55,6.1113125692848e-51
"CCER2",4.13086140832742,2.19336044706127,3.31577735158701e-53,1.9159666796587e-49
"POU4F3",4.52710280058891,-0.629850563583211,6.31887366921412e-53,2.43648305145138e-49
"NHLH1",3.44282151728006,0.307581741087241,7.02764075988285e-53,2.43648305145138e-49
"KCNH6",5.70569271543566,1.82789644672718,2.94432065884496e-50,8.50663310351289e-47
"MYBPH",5.86643121675075,1.78820974153049,1.47822769854921e-46,3.66072530776436e-43
"S100A3",3.38205427460787,4.8199051172604,1.07182853115918e-43,2.32251844845554e-40
"SLC39A5",3.0867021089045,0.851324064136929,1.06767319845771e-37,2.05645721058492e-34
"KRT38",6.41972674920858,0.729806814261265,3.03049087806297e-36,5.25335593712217e-33
"SLC26A3",3.50663249648652,-1.37973097216954,3.35883828262234e-34,5.29322378447803e-31
"RAB44",-3.39780007562664,1.01737496572723,7.34275259952399e-34,1.06072180260624e-30
"KRT85",4.85316340673625,-0.697323005809817,8.24595055811678e-33,1.09956579173042e-29
"IBSP",2.88706673646199,1.7273227884567,1.07889507858487e-32,1.33590329909062e-29
"INSRR",3.59296176388147,-0.217748635184137,1.31552445672243e-32,1.52030776381888e-29
"KRT72",3.77029382139408,-0.833578020478478,3.05131228153829e-31,3.30590615002914e-28
"KRT84",4.62283797080986,0.00421989294258921,2.12248411720433e-30,2.16430953951394e-27
"COL2A1",3.45371942001058,2.21087913506556,4.87453860132404e-30,4.69445148077513e-27
"CHRND",4.7954894641871,-1.3740089783027,1.0124914301651e-28,9.23765207469055e-26
"LEFTY1",2.85430254262666,-0.740867298210454,1.4505664476297e-28,1.25727846848304e-25
"CDH17",3.42884684338973,2.43276796415273,2.69449527009407e-28,2.22424169081336e-25
"FOXI1",4.84143008392291,2.32075103175731,3.56881393667914e-28,2.81206316328786e-25
"NPAS4",-3.67106268156213,-0.339892208598572,2.4710988697833e-27,1.86245647424755e-24
"NTSR1",3.54789954278909,0.895103509698865,2.96466367683389e-27,2.14135186824648e-24
"KRTAP3-2",4.77759258380913,-2.39384194220415,3.6549077835313e-27,2.5343130571006e-24
"KRTAP3-1",5.02495062787181,0.805473741711038,5.4381225003656e-27,3.62576359783991e-24
"MUC17",5.7552813464252,2.06849896902909,6.97206397710068e-27,4.47632329789038e-24
"KRTAP3-3",7.56059967072762,-0.576879866583114,3.21777122424259e-26,1.99214514900876e-23
"KRTAP17-1",4.16228652319421,-2.73002602183695,6.62225877348166e-26,3.95851227028637e-23
"BMX",2.16439712612731,1.30373436773998,1.45653575096877e-25,8.41634908101456e-23
"TCAP",1.84715171762,1.89892211735652,1.58776681025203e-25,8.87868956636093e-23
"LHX3",4.93874603789482,-0.433960349430724,1.73167522998763e-25,9.38080940994864e-23
"ENTPD8",2.71154884449578,1.58938145247091,9.61778224265394e-25,5.05225015686079e-22
"SLC12A3",2.78893745017384,1.03338749717563,1.65999083203421e-24,8.46351208038618e-22
"CYP26B1",1.89234248796719,3.13543816808675,3.8158165761362e-23,1.88991943849489e-20
"ENPP1",1.97432979120635,3.09626258732515,5.10043529033465e-23,2.4560012710542e-20
"KRT36",2.36776507497415,-1.24820089590477,8.39471774715168e-23,3.93303870667228e-20
"BSND",3.47241766140556,-1.7735744297498,1.09305224398945e-22,4.98633174988347e-20
"NTS",3.17536976978048,3.44363486748405,1.35490669171952e-22,6.02238653870714e-20
"MYO15A",1.68318772970683,1.38935534684212,1.43691670532395e-22,6.22723777169768e-20
"ARHGAP36",4.09461344569321,-1.08346286638431,1.58959160792326e-22,6.7208708593536e-20
"NOTUM",3.109589301135,5.21206468521555,1.82840056250642e-22,7.54650565501163e-20
"VIP",2.33675460159364,-0.401535447293861,2.80066345436764e-22,1.12905816235961e-19
"OCSTAMP",3.36884033174555,-2.64159085495122,4.47293520157321e-22,1.76223481180163e-19
"KIF19",2.06873108135333,0.703569377057104,6.08682660125334e-22,2.34478086961615e-19
"FRMD1",3.5853847860285,-1.17959241672075,6.70950475635964e-22,2.52846228155423e-19
"FGF8",3.17050219604968,0.293363304053678,7.24929768009247e-22,2.67375692094474e-19
"STAC2",2.49448442592064,0.195055530652211,9.58619090920165e-22,3.46201290439606e-19
"ANKS4B",3.17607308678863,-1.37148931429388,1.19856858614066e-21,4.24024213076497e-19
"AMELX",-7.62152800723501,0.701558837731669,1.24180348993634e-21,4.30533269960929e-19
"KRT40",2.84810433930363,0.062530181968315,1.92772199419077e-21,6.55236485672491e-19
"PAX2",3.23767874755011,-1.70943886969197,1.99576109845773e-21,6.65317666187783e-19
"KRTAP1-5",2.79719542510711,-1.39265037642581,2.3253105086439e-21,7.60552031459284e-19
"CALHM1",2.45689526518366,-1.10029900316968,2.6141308963391e-21,8.39184427556266e-19
"KRTAP11-1",6.09906605709365,-0.858858164236468,2.89544887727144e-21,9.12592841590916e-19
"KRTAP19-1",5.26928721671449,-0.954042368282815,5.47610435096847e-21,1.69514765935783e-18
"ATP2B3",2.70347261141258,-1.6778946941414,6.1509577934476e-21,1.87064654998972e-18
"AMBN",5.16731567089505,-1.04810713836618,8.00368004089987e-21,2.39213437084481e-18
